id,psgcCode,regDesc,regCode,
1,10000000,Ilocos Region,1,
2,20000000,Cagayan Valley,2,
3,30000000,Central Luzon,3,
4,40000000,Calabarzon,4,
5,170000000,Mimaropa,17,
6,50000000,Bicol Region,5,
7,60000000,Western Visayas,6,
8,70000000,Central Visayas,7,
9,80000000,Eastern Visayas,8,
10,90000000,Zamboanga Peninsula,9,
11,100000000,Northern Mindanao,10,
12,110000000,Davao Region,11,
13,120000000,Soccsksargen,12,
14,130000000,Ncr,13,
15,140000000,Car,14,
16,150000000,Armm,15,
17,160000000,Caraga,16,
,,,,
